title,id,activity,status
iteration over attrs in metaclass' __new__ affects class' __name__,33268,2018-04-12.10:47:54,2
Add contextlib.ExitStack,13585,2018-04-12.05:25:34,2
"Show ""expected"" token on syntax error",1634034,2018-04-11.18:59:19,1
Update token.py etc for ASYNC and AWAIT,33260,2018-04-11.17:22:18,2
Clarify ResourceWarning documentation,33252,2018-04-11.13:51:58,1
'collections.abc' is no longer defined when collections is imported,20784,2018-04-11.11:05:20,2
concurrent futures Executors accept tasks after interpreter shutdown,33097,2018-04-10.21:36:03,2
_decimal build failure (unsupported platform for that module) - evolution possible?,33230,2018-04-10.16:05:22,2
Documentation Language mixed up,31584,2018-04-10.13:36:11,2
Reduce memset in dict creation,28832,2018-04-10.13:07:31,2
make `make install` faster,30686,2018-04-10.13:00:06,2
xxsubtype.bench does not function correctly on CPython 3+,33253,2018-04-10.08:07:41,2
pygettext ignores directories as inputfile argument,31920,2018-04-10.08:04:26,2
Potential deadlock in concurrent futures when garbage collection occurs during Queue.get,21009,2018-04-10.05:47:26,2
concurrent.futures.thread deadlock due to Queue in weakref callback,32576,2018-04-10.05:47:15,2
__await__ behaves different with or without PYTHONASYNCIODEBUG,33248,2018-04-10.02:04:12,2
make test: module test that failed doesn't exist,31201,2018-04-09.21:21:01,2
test_poplib hangs with the changes done in PR,33099,2018-04-09.19:59:12,1
Questionable code in OrderedDict definition,33031,2018-04-09.18:47:41,2
Various test failures if PYTHONUSERBASE is not canonicalized,33222,2018-04-09.17:21:40,1
Overflow error,33244,2018-04-09.16:57:51,2
Suggest third-party cmd2 module as alternative to cmd,33233,2018-04-09.16:44:19,1
"Optimize the empty set ""literal""",33200,2018-04-09.16:35:29,2
multiprocessing.Array do not release shared memory,32759,2018-04-09.16:34:18,2
Unpickling objects with recursive references and partials fail due to incomplete state passed to __setstate__,33249,2018-04-09.15:31:56,1
Move VERSION attribute output up in pydoc (via help() builtin),33250,2018-04-09.13:29:07,1
ssl.SSLError exceptions in test_poplib,32753,2018-04-09.11:49:31,2
nltk is not working properly,33243,2018-04-09.08:15:16,2
"File ""<string>"" is opened and read unconditionally",33247,2018-04-09.08:10:25,2
Note in 18.2. json — JSON encoder and decoder is incorrect,33246,2018-04-09.07:48:23,2
Unable to send CTRL_BREAK_EVENT,33245,2018-04-09.06:17:38,1
possible characters in temporary file name is too few,12015,2018-04-09.01:26:59,2
Support binary symbol names,33242,2018-04-08.23:15:38,2
statistics module - incorrect results with boolean input,24068,2018-04-08.20:03:14,2
OverflowError in statistics.mean when summing large floats,25177,2018-04-08.20:02:24,2
Add support of pickling very large bytes and str objects with protocol < 4,25370,2018-04-08.16:55:06,1
Support for SameSite Cookies,29613,2018-04-08.13:44:47,2
Documentation -  io — Core tools for working with streams - seek(),33229,2018-04-08.08:11:43,2
"Modernize ""Extension types"" documentation",33201,2018-04-07.16:36:00,2
crypt function not hashing properly on Mac (uses a specific salt),33213,2018-04-07.13:33:00,1
importlib.invalidate_caches() doesn't clear all caches,33169,2018-04-07.00:02:53,2
put opcode information in one place,17861,2018-04-06.23:51:26,2
Some gdb macros are broken in 3.6,29673,2018-04-06.22:17:40,2
Cmd do_something only accepts one argument,33227,2018-04-06.22:11:02,1
dataclass MRO entry resolution for type variable metaclasses: TypeError,33188,2018-04-06.21:31:36,2
Better help text for dict.setdefault,33235,2018-04-06.16:43:41,1
"pkgutil.walk_packages ""prefix"" option docs are misleading",33210,2018-04-06.14:30:40,1
Potential memory leak in normalizestring(),33231,2018-04-06.07:37:49,2
"Idle: Auto insertion of the closing parens, brackets, and braces",18875,2018-04-06.03:41:01,1
"""RuntimeError: generator raised StopIteration"" in difflib.mdiff",33224,2018-04-05.19:23:50,2
random.choice: raise IndexError on empty sequence even when not using getrandbits internally,33203,2018-04-05.16:24:53,2
Misc/.gdbinit:pystack is too brittle,15257,2018-04-05.09:16:06,2
PyArg_Parse* should deprecate 'u' and 'z' family.,33195,2018-04-05.09:08:51,2
Lib2to3  grammar.txt error,33208,2018-04-05.04:47:10,2
"In some envrionment using unicode, formatwarning shows ascii error",33226,2018-04-05.01:30:59,2
Pickling of typing types,32873,2018-04-05.00:46:42,2
importlib: _find_and_load() race condition on sys.modules[name] check,30891,2018-04-04.19:19:31,2
"PyUnicode_AsEncodedString, PyUnicode_Decode: add fast-path for ""us-ascii"" encoding",27938,2018-04-04.17:55:28,2
Update encoding lookup docs wrt #27938,28393,2018-04-04.17:52:44,2
imaplib module IMAP4.append() unexpected response BAD Command Error,33225,2018-04-04.17:40:42,1
error message when __aexit__ is not async,29922,2018-04-04.17:39:22,2
"Dict order is now guaranteed, so add tests and doc for it",32337,2018-04-04.17:36:05,2
typing.Generic does not correctly call super().__init_subclass__,33207,2018-04-04.16:55:29,2
Duck-typing inspect.isfunction(),30071,2018-04-04.13:55:15,2
subprocess_fork_exec more stable with vfork,31814,2018-04-04.07:13:55,2
PyPI API wiki pages should be mutable,33215,2018-04-04.05:37:00,2
Repeated Pickler.dump() doesn't reset the state in the C implementation of pickle,33209,2018-04-04.05:08:08,2
Fix instances in documentation where dictionaries are referenced as unordered,33218,2018-04-04.04:24:58,2
Add stats for asyncio task usage.,33221,2018-04-04.02:43:26,1
Can't use lib2to3 with embeddable zip file.,24960,2018-04-03.21:10:50,2
urllib.parse.urlparse and urlsplit not raising ValueError for bad port,33034,2018-04-03.11:02:55,2
SimpleHTTPRequestHandler shouldn't redirect to directories with code 301,33181,2018-04-03.11:02:24,1
add several options to msgfmt.py,33212,2018-04-03.06:27:07,1
Save OrderedDict imports in various stdlibs.,32360,2018-04-03.06:12:08,2
os.walk mentions os.listdir instead of os.scandir,33202,2018-04-03.03:39:17,2
PyDict_Copy() can leave 'ma_version_tag' uninitialized,33199,2018-04-03.03:37:15,2
TimedRotatingFileHandler in logging module,33162,2018-04-03.03:33:52,2
"3.4.4, 3.4.5, 3.5.0, 3.5.1, 3.5.2 documentation archives missing",25170,2018-04-03.00:47:25,2
"Windows inet_pton(socket.AF_INET6, 'localhost') raises ValueError instead of socket.error",33206,2018-04-02.22:28:14,2
typing.Generic breaks __init_subclass__,32162,2018-04-02.22:03:02,2
configparse module in python3 can not write '%' to config file,30760,2018-04-02.17:52:06,2
"Doc for itertools, 'islice()' implementation have unwanted behavior for recipe 'consume()'",27212,2018-04-02.17:36:40,2
Resize dict on del/pop,32623,2018-04-02.11:56:14,1
asyncio should use signal.set_wakeup_fd on Windows,33192,2018-04-01.23:35:09,1
ctypes: Differing results between Python and C.,22781,2018-04-01.22:36:33,1
tarfile.itn breaks if n is a negative float,32713,2018-04-01.08:00:45,2
Possible refcount issues in the compiler,33132,2018-04-01.07:42:56,2
Expose max_queue_size in ThreadPoolExecutor,29595,2018-03-31.17:06:25,1
Ability to adjust queue size in Executors,14119,2018-03-31.17:04:32,2
Memory corruption with urllib.parse,33186,2018-03-31.10:57:10,2
problem with ABCMeta.__prepare__ when called after types.new_class,33190,2018-03-31.02:58:22,1
Update references for RFC 3548 to RFC 4648,33147,2018-03-30.20:47:47,1
Use list comprehension in timeit module instead of loop with append,33152,2018-03-30.19:04:38,2
-Werror=declaration-after-statement expat build failure on Python 3.5,32563,2018-03-30.08:30:19,2
"Add utilities to ""clean"" surrogate code points from strings",18814,2018-03-30.06:52:39,1
Python 3.7.0b3 fails to build with clang 6.0,33182,2018-03-30.06:26:32,2
Refactoring: replacing some assertTrue by assertIn,33183,2018-03-29.20:29:02,2
signal handler never gets called,5315,2018-03-29.20:05:00,1
"dataclasses should look up __set_name__ on class, not instance",33175,2018-03-29.17:33:46,2
Should we define complex.__complex__ and bytes.__bytes__?,24234,2018-03-29.15:25:14,1
Investigate using a context variable for zero-arg super initialisation,33179,2018-03-29.15:18:10,1
make install hangs on macOS when there is an existing Python app,33177,2018-03-29.14:47:17,2
Implementation of the PEP 538: coerce C locale to C.utf-8,28180,2018-03-29.01:23:38,2
Direct sub-classing of pathlib.Path,24132,2018-03-29.00:21:19,1
bytes does not implement __bytes__(),33055,2018-03-29.00:04:41,2
Add context management to mailbox.Mailbox,32234,2018-03-28.21:06:29,1
Upgrade pip to 9.0.3 and setuptools to v39.0.1,33163,2018-03-28.18:27:17,2
backport of #32305 causes regressions in various packages,32872,2018-03-28.18:27:17,2
Fix NPN guard for OpenSSL 1.1,30622,2018-03-28.18:27:17,2
Update built-in version of SQLite3,33172,2018-03-28.16:55:46,2
Some C buffer protocol APIs not documented,33126,2018-03-28.15:50:58,2
New type based on int() created with typing.NewType is not consistent,33170,2018-03-28.15:21:36,2
Lazy execution of module bytecode,33124,2018-03-28.15:18:32,1
multiprocessing won't utilize all of platform resources,33171,2018-03-28.14:56:29,1
distutils build/build_ext and --debug,33168,2018-03-28.14:21:21,1
RFC Documentation Updates to urllib.parse.rst,33167,2018-03-28.11:53:07,1
Fatal Python error: Py_Initialize: Unable to get the locale encoding on Debian/Python 3.6.4 source build,33142,2018-03-28.05:56:16,2
Run gc_collect() before complaining about dangling threads,32850,2018-03-27.22:34:22,1
Negative values in positional access inside formatting,33160,2018-03-27.21:43:24,2
test_read_pty_output() of test_asyncio hangs on macOS 10.13.2 (darwin 17.3.0),32517,2018-03-27.21:19:53,2
Implement PEP 473,33159,2018-03-27.19:35:14,1
In subject line email library inserts unwanted space after a thousands comma in a number,25257,2018-03-27.18:43:40,1
importlib.resources breaks on subdirectories,33151,2018-03-27.17:25:51,2
Add fileobj property to csv reader and writer objects,33158,2018-03-27.17:17:55,1
zipfile extractall needlessly re-wraps ZipInfo instances,32742,2018-03-27.16:53:40,1
Inconsistent error message for TypeError with subscripting,31550,2018-03-27.15:39:31,2
Strings beginning with underscore not removed from lists - feature or bug?,33157,2018-03-27.15:33:44,2
Parser stack overflows,33149,2018-03-27.14:41:15,2
Use super().method instead in email classes.,33156,2018-03-27.13:47:28,2
contextlib.suppress should capture exception for inspection and filter on substrings,33146,2018-03-27.13:11:29,1
"Blake2 module, memory clearance update",32569,2018-03-27.12:03:34,2
Use super().method instead of socket.method in SSLSocket,31853,2018-03-27.11:36:40,2
interpreter crash when multiplying large lists,1704621,2018-03-27.10:11:49,2
WeakSet should allow discard and remove on items that can't have weak references,30100,2018-03-27.03:24:05,1
random.sample() behavior is unexpected/unclear from docs,33114,2018-03-27.00:54:27,2
subprocess may incorrectly redirect a low fd to stderr if another low fd is closed,32844,2018-03-26.21:03:05,2
Misc/cheatsheet needs updating,4819,2018-03-26.19:36:01,2
descriptor __set_name__ feature broken for dataclass descriptor fields,33141,2018-03-26.18:14:56,2
_json crash on scanner/encoder initialization error,6986,2018-03-26.15:04:44,2
Documentation for return value for string.rindex is missing when search string is empty,31504,2018-03-26.15:02:21,3
encode UTF-16 generates unexpected results,33143,2018-03-26.12:52:59,2
New 3.7 startup sequence crashes PyInstaller,33042,2018-03-26.12:50:47,2
Misbehavior of BufferedRandom.write with raw file in append mode,20082,2018-03-26.12:24:47,1
ftplib: FTP_TLS seems to have problems with sites that close the encrypted channel themselfes,33122,2018-03-26.09:42:57,1
cgi: Document the 'maxlen' member of the cgi module,23952,2018-03-25.23:29:23,1
Change necessary in platform.py to support IronPython,17994,2018-03-25.23:22:51,2
shutil.chown on Windows,33140,2018-03-25.23:00:21,1
CPython hangs on error __context__ set to the error itself,25782,2018-03-25.20:42:53,2
webbrowser doesn't respect xfce default browser,6671,2018-03-25.19:05:48,1
subprocess: document the interaction between subprocess.Popen and os.set_inheritable,33079,2018-03-25.17:44:07,2
datetime.strftime('%s') does not take timezone into account,23388,2018-03-25.16:02:01,2
line traces may be missed on backward jumps when instrumented with dtrace,33137,2018-03-25.12:01:28,1
Harden ssl module against CVE-2018-8970,33136,2018-03-25.11:28:22,1
Don't return implicit optional types by get_type_hints,33133,2018-03-25.09:21:10,1
confusing error message for rot13 codec,32943,2018-03-25.04:33:48,2
dataclasses: use function dispatch instead of multiple tests for adding __hash__,33134,2018-03-25.02:32:58,2
"argparse version action should print to stdout, not stderr",18920,2018-03-24.16:17:16,2
python --version should send output to STDOUT,18338,2018-03-24.15:00:08,2
SSLSocket extra level of indirection,24334,2018-03-24.14:59:18,2
better error message when __all__ contains non-str objects,32932,2018-03-24.10:41:16,2
python sys.argv argument parsing not clear,33119,2018-03-24.04:25:00,2
Asyncio loop blocks with a lot of parallel tasks,33115,2018-03-24.00:06:52,2
Document WindowsRegistryFinder inherits from MetaPathFinder,27428,2018-03-23.22:27:31,2
NoReturn missing from __all__ in typing.py,33061,2018-03-23.21:47:40,2
json.dump: fp must be a text file object,32358,2018-03-23.21:27:27,2
Fatal error on SSL transport,33093,2018-03-23.20:30:58,2
Import of _pyio module failed on cygwin,32287,2018-03-23.20:05:53,2
Fatal python error when jumping into except clause,30953,2018-03-23.12:46:47,1
"issubclass(obj, abc.ABC) causes a segfault",32999,2018-03-23.09:43:17,2
support encoded filename in Content-Disposition for HTTP in cgi.FieldStorage,23434,2018-03-23.02:26:43,1
dataclasses: make field() with no annotation an error,32505,2018-03-22.21:00:25,2
No clean way to get notified when a Transport's write buffer empties out,33118,2018-03-22.18:58:50,1
handling filename encoding in Content-Disposition by cgi.FieldStorage,33027,2018-03-22.15:24:51,2
Improve issubclass() error checking and message,33018,2018-03-22.14:03:17,2
"Aliasing import of sub-{module,package} from the package raises AttributeError on import.",23203,2018-03-22.12:24:45,2
Fix Python versions in the table of magic numbers,32838,2018-03-22.10:18:19,2
dis module: coroutine opcode documentation clarity,26286,2018-03-22.09:34:33,1
Documentation of MAKE_FUNCTION/MAKE_CLOSURE_EXTENDED_ARG is misleading,25836,2018-03-22.09:19:51,2
correct docstring for builtin compile,13677,2018-03-22.08:38:26,1
Unicode char 304 in lowercase has len = 2,33108,2018-03-22.06:09:55,2
Field is not exposed in dataclasses.__all__,33116,2018-03-21.21:45:50,2
Queue with maxsize can lead to deadlocks,33078,2018-03-21.21:27:09,2
Syntax to get multiple arbitrary items from an sequence,33103,2018-03-21.15:21:37,2
SSL match_hostname does not accept IP Address,23239,2018-03-21.11:03:48,1
dataclasses: no need for OrderedDict now that dict guarantees to keep insertion order,32506,2018-03-21.09:24:43,2
Error when subclassing a dataclass with a field that uses a defaultfactory,32896,2018-03-21.09:23:12,2
ipaddress subnet slicing iterator malfunction,27683,2018-03-21.01:58:25,2
ipaddress documentation errors,18802,2018-03-21.01:57:16,2
typing: Unexpected result with value of instance of class inherited from typing.NamedTuple,33077,2018-03-20.22:04:40,1
dataclasses: ClassVar attributes are not working properly,33094,2018-03-20.21:49:34,2
SequenceMatcher bug,33112,2018-03-20.20:35:51,2
"Some fstat() calls do not release the GIL, possibly hanging all threads",33021,2018-03-20.19:40:42,2
Feature request: more typing.SupportsXXX,33107,2018-03-20.16:39:03,2
test_selectors.PollSelectorTestCase failing on macOS 10.13.3,33036,2018-03-20.16:06:24,2
dataclasses and __slots__ - non-default argument (member_descriptor),33100,2018-03-20.01:39:18,2
os.path.isfile returns false on Windows when file path is longer than 260 characters,33105,2018-03-20.01:12:55,1
No reliable clean shutdown method,33087,2018-03-20.00:19:56,1
Documentation for EXTENDED_ARG in dis module is incorrect for >=3.6,33104,2018-03-19.18:09:55,2
"ceval: use Wordcode, 16-bit bytecode",26647,2018-03-19.16:29:10,2
Possible name inversion in heapq implementation,33101,2018-03-19.15:19:54,2
add implicit conversion for random.choice() on a dict,33098,2018-03-19.07:48:23,2
dataclasses: disallow inheritance between frozen and non-frozen classes,32960,2018-03-19.01:29:30,2
Dataclasses: frozen should not be inherited for non-dataclass derived classes,32953,2018-03-19.01:04:16,2
argparse assertion failure with multiline metavars,32867,2018-03-18.22:03:00,1
"Improve exceptions in aifc, sunau and wave",32056,2018-03-18.20:52:01,2
socket module calls with long host names can fail with idna codec error,32958,2018-03-18.20:35:56,1
webbrowser creates zombi processes in the background mode,27069,2018-03-17.21:29:49,1
"""RuntimeError: dictionary changed size during iteration"" using trace.py module",33047,2018-03-17.18:28:51,1
Lib/ be more pythonic,32829,2018-03-17.18:07:58,2
pip: IndexError,33086,2018-03-17.09:53:56,2
Keeping an exception in cache can segfault the interpreter,32421,2018-03-17.09:28:50,2
itertools.count() confusingly mentions zip() and sequence numbers,33049,2018-03-16.22:01:24,2
"pdb from base class, get inside a method of derived class",33044,2018-03-16.21:32:49,2
Cannot pass a SyncManager proxy to a multiprocessing subprocess on Windows,33088,2018-03-16.20:08:00,1
finally block doesn't re-raise exception if return statement exists inside,32822,2018-03-16.18:56:03,1
Add concat functionality to ElementTree xpath find,32476,2018-03-16.16:58:53,1
int() docstring - unclear what number is,21611,2018-03-16.11:24:53,2
"ttk.Treeview: _tkinter.TclError: list element in quotes followed by "";"" instead of space",32328,2018-03-16.09:24:26,2
regen-importlib is causing build races against other regen-all targets in Makefile.pre.in,33080,2018-03-16.02:23:07,1
singledispatch register should typecheck its argument,27984,2018-03-15.10:33:30,2
warn user of creation of multiple Tk instances,32825,2018-03-15.08:45:48,1
Python 2.7 : Buffer Overflow vulnerability in exec() function,32757,2018-03-15.08:21:54,2
tokenize.py parses unicode identifiers incorrectly,32987,2018-03-15.00:58:29,2
tokenize fails on some Other_ID_Start or Other_ID_Continue,24194,2018-03-15.00:55:40,1
\w not helpful for non-Roman scripts,1693050,2018-03-15.00:32:39,2
tokenize yield an ERRORTOKEN if the identifier starts with a non-ascii char,9712,2018-03-15.00:18:48,2
singledispatch support for type annotations,32227,2018-03-14.23:34:12,2
"Trying to cleanly terminate a threaded Queue at exit of program raises an ""EOFError""",33076,2018-03-14.21:14:36,1
Cursor misbahavior with Tkinter 3.6.1/tk 8.5 Text on Mac Sierra,31974,2018-03-14.20:09:00,2
typing.NamedTuple does not deduce Optional[] from using None as default field value,33075,2018-03-14.19:03:02,2
make html fails on OSX,26450,2018-03-14.18:10:03,2
Tools/scripts/pathfix.py leaves bunch of ~ suffixed files around with no opt-out,32885,2018-03-14.17:52:31,1
zero-length match confuses re.finditer(),1647489,2018-03-14.17:17:12,2
Capturing start of line '^',25054,2018-03-14.17:16:23,2
Convenience API for timeit.main,5441,2018-03-14.15:02:20,2
segfault in PyErr_NormalizeException() after memory exhaustion,30697,2018-03-14.06:07:50,2
python3.6.4 build hangs on test_asyncio macOS 10.13,32686,2018-03-14.05:54:57,2
str.translate needs a mapping example,28612,2018-03-13.23:47:12,1
lib2to3 fails on a trailing comma after **kwargs in a function signature,33064,2018-03-13.22:19:55,2
unittest blocks when testing function using multiprocessing.Pool with state spawn,33054,2018-03-13.22:06:33,1
cannot jump from a 'return' or 'exception' trace event,17288,2018-03-13.21:11:32,2
single and double quotes stripped upon paste with MacPorts libedit,23599,2018-03-13.21:01:43,1
The interpreter bytecodes for with statements are overly complex.,33072,2018-03-13.20:28:25,2
failed to build _ctypes: undefined reference to `ffi_closure_FASTCALL',33063,2018-03-13.19:14:24,1
Provide as_integer_ratio() method to Decimal,8947,2018-03-13.19:04:17,2
http.client no longer sends HTTP request in one TCP package,33067,2018-03-13.17:40:23,1
LEaking files in concurrent.futures.process,33056,2018-03-13.14:49:02,2
"ipaddress.IPv{4,6}Network.reverse_pointer is broken",30528,2018-03-13.14:25:06,1
Inconsistencies in parsing (evaluating?) longstrings,33068,2018-03-13.13:52:10,2
raise an exception from multiple positions break the traceback frames,33066,2018-03-13.09:19:42,1
"""Date"" of what's new is confusing",29719,2018-03-13.01:23:23,2
Idle: Enhance font change notification system,20917,2018-03-12.23:24:33,1
json.dumps should accept key function for ``sort_keys``,24518,2018-03-12.22:55:08,1
[Security] A New Era of SSRF - Exploiting URL Parser in Trending Programming Languages!,32085,2018-03-12.22:51:24,1
Enhance Python's Memory Instrumentation with COUNT_ALLOCS,33058,2018-03-12.22:05:43,1
"Installation hangs at ""Publishing product information""",33060,2018-03-12.21:38:22,2
netrc module validates file mode only for /home/user/.netrc,33059,2018-03-12.21:05:31,1
RFE: Add signal.strsignal(): string describing a signal,22674,2018-03-12.19:03:28,2
file_dealloc() assumes errno is set when EOF is returned,3014,2018-03-12.17:45:35,1
fatal error raised when Ctrl-C print loop,32719,2018-03-12.11:54:20,2
Make itertools.islice supports negative values for start and stop arguments for sized iterable object,33040,2018-03-12.09:20:43,2
Centralized documentation of assumptions made by C code,33050,2018-03-12.06:29:39,1
urllib and webbrowser.open() can open w/ file: protocol,32993,2018-03-12.01:32:52,2
subprocess.Popen: Confusing documentation for restore_signals,32985,2018-03-12.00:49:50,1
Parse out invisible Unicode characters?,32982,2018-03-12.00:42:44,1
multiprocessing calls flush on sys.stdout at exit even if it is None (pythonw),31804,2018-03-11.19:10:52,2
"ConfigParser should be able to write config to a given filename, not only into file object",28788,2018-03-11.15:47:25,2
Improve disassembly of the MAKE_FUNCTION instruction,32970,2018-03-11.09:07:42,2
Speed up import from non-packages,32946,2018-03-11.08:58:13,2
AST optimizer: Change a list into tuple in iterations and containment tests,32925,2018-03-11.08:57:09,2
"Fix jumping out of ""with"" block",33026,2018-03-11.08:56:24,2
Save OrderedDict import in re,32338,2018-03-11.07:06:10,2
SSL Dcumentation Error,33045,2018-03-11.01:29:23,2
Fixing links in documentation,25910,2018-03-10.23:41:26,2
improve struct.unpack_from's error message like struct.pack_into,30249,2018-03-10.19:00:24,2
ConfigParser writes a superfluous final blank line,32917,2018-03-10.15:05:50,3
Support Apple AIFF-C pseudo compression in aifc.py,30077,2018-03-09.20:13:26,1
Tkinter old style classes,33020,2018-03-09.20:02:07,2
Some examples in documentation section 4.7.2 are incorrect,33035,2018-03-09.15:35:26,2
Clarify that the signed number convertors to PyArg_ParseTuple... *do* overflow checking,33033,2018-03-09.09:34:18,1
GetLastError() may be overwritten by Py_END_ALLOW_THREADS,33030,2018-03-08.22:27:25,1
ctypes: pass by value for structs broken on Cygwin/MinGW 64-bit,30353,2018-03-08.15:34:17,2
asyncio.WriteTransport.set_write_buffer_limits orders its args unintuitively and inconsistently with its companion function's return value,33024,2018-03-08.11:51:39,1
Review usage of environment variables in the stdlib,33019,2018-03-08.07:27:45,1
Floating Point Arithmetic Inconsistency (internal off-by-one),33022,2018-03-08.03:47:26,2
IPv6Network constructor docs incorrect about valid input,22822,2018-03-08.02:54:22,2
OpenSSL 1.1.0 deprecated functions,30008,2018-03-07.07:51:41,1
Add more constants to zlib module,32969,2018-03-07.05:55:49,2
truncate() semantics changed in 3.1.2,8840,2018-03-07.01:04:34,1
configparser.ConfigParser.read() does not accept Pathlib path as a single argument.,29623,2018-03-06.19:26:27,2
Assertion failure in inspect.signature on unbound partialmethods,33009,2018-03-06.18:49:27,2
PDF documentation: long verbatim lines are cut off at right hand side,4173,2018-03-06.18:21:10,2
unittest: Automatically run coroutines in a loop,32992,2018-03-06.18:03:41,2
Embedded 3.6.4 distribution does not add script parent as sys.path[0],33011,2018-03-06.17:25:59,2
Underscore in str.format with x option,33013,2018-03-06.16:06:39,2
AttributeError in doctest.DocTestFinder.find,32991,2018-03-06.15:53:24,2
API change in string formatting with :s option should be documented in What's New.,20150,2018-03-06.15:13:59,2
3.7.0b2 Interpreter crash in dev mode (or with PYTHONMALLOC=debug) with 'python -X dev -c 'import os; os.fork()',33005,2018-03-06.15:01:11,2
urllib.request.parse_http_list incorrectly strips backslashes,33008,2018-03-06.14:46:59,1
Catastrophic backtracking in fpformat,32997,2018-03-06.05:59:05,2
"argparse: Provide equivalent of optparse.OptionParser.{option_groups,option_list,get_option}",23159,2018-03-06.04:55:28,2
Shutil module functions could accept Path-like objects,33004,2018-03-06.03:26:10,2
Allow documentation switcher to change url to /3/ and /dev/,25197,2018-03-06.01:53:11,2
csv.reader() to support QUOTE_ALL,32919,2018-03-06.00:42:52,1
urllib: Document parse_http_list,33003,2018-03-05.22:36:31,1
Sort entries in foo.dist-info/RECORD,29417,2018-03-05.21:52:45,2
IDLE: set and unset __file__ for startup files,32984,2018-03-05.19:46:08,2
regular expression regression in python 3.7,32998,2018-03-05.19:43:59,2
.pth files cannot contain folders with utf-8 names,32921,2018-03-05.17:53:23,1
Let ConfigParser parse systemd units,31528,2018-03-05.14:16:43,1
Add 'surgical editing' to ConfigParser,1410680,2018-03-05.12:02:23,1
Interrupt .communicate() on SIGTERM/INT,32871,2018-03-05.05:32:48,1
xml.sax and xml.dom fetch DTDs by default,17318,2018-03-05.00:46:04,1
Python 3.3/3.4 installation issue on OpenSUSE lib/lib64 folders,15631,2018-03-05.00:36:31,2
IDLE: Fix pyparse.find_good_parse_start and its bad editor call,32989,2018-03-05.00:34:04,1
xml.sax parser validation sometimes fails when obtaining DTDs from https sites,32130,2018-03-05.00:31:31,1
Change in re.escape output is not documented in 3.7 whatsnew,30147,2018-03-04.23:24:40,2
Add ** Map Unpacking Support for namedtuple,32854,2018-03-04.21:50:45,2
Building the html documentation is broken,32994,2018-03-04.21:03:53,2
Remove functions that do nothing in _Py_InitializeCore(),32980,2018-03-04.06:06:03,2
IDLE: Add tests for pyparse,32874,2018-03-04.05:36:10,2
Python 2.7 tutorial claims source code is UTF-8 encoded,32963,2018-03-03.19:00:27,2
Reuse a testing implementation of the path protocol in tests,32964,2018-03-03.12:19:54,2
"datetime.datetime.strftime('%s') always uses local timezone, even with aware datetimes",32988,2018-03-03.01:53:40,2
IDLE: Fix and update and cleanup pyparse,32880,2018-03-03.00:44:56,1
IDLE crashes when trying to save a file,32955,2018-03-02.20:09:33,1
UnicodeDecodeError 'ascii' codec can't decode byte in position - ordinal not in range(128),32983,2018-03-02.19:53:42,1
test_npn_protocols broken with LibreSSL 2.6.1+,32378,2018-03-02.19:15:00,2
Issues with reading large float values in AIFC files,32978,2018-03-02.17:45:16,1
Add shutil.open,3177,2018-03-02.17:06:15,1
Constructor of ipaddress.IPv*Interface does not follow documentation,29890,2018-03-02.04:59:54,1
"Check well-formedness of reST markup within ""make patchcheck""",10507,2018-03-02.03:54:49,2
mailbox: It would be nice to move mailbox.Message from legacy email.message.Message API to new EmailMessage API,32975,2018-03-02.02:29:36,1
subprocess crash under Windows compatibility mode,32818,2018-03-02.01:46:24,1
added acts_like decorator to dataclasses module,32977,2018-03-01.23:20:59,1
Inconsistent README filenames,18855,2018-03-01.21:23:19,2
distutils: isinstance checks fail with setuptools-monkeypatched Extension/Distribution,23102,2018-03-01.21:17:44,1
Extract documentation theme into a separate package,30607,2018-03-01.21:07:07,2
Multiprocessing worker functions not terminating with a large number of processes and a manager,32937,2018-03-01.19:19:31,1
dict get() function equivalent for lists.,32979,2018-03-01.18:58:05,2
datetime: add ability to parse RFC 3339 dates and times,15873,2018-03-01.18:50:17,2
linux/random.h present but cannot be compiled,32976,2018-03-01.12:52:49,1
os.chdir() may leak memory on Windows,32903,2018-03-01.10:29:40,2
Add bitwise operations and other missing comparison methods to Python's IP address module,32974,2018-03-01.02:56:35,1
IDLE: pyparse - simplify StringTranslatePseudoMapping,32940,2018-02-28.23:12:17,1
codecs error handler is called with a UnicodeDecodeError with the same args,13830,2018-02-28.18:24:13,1
gcc7 throws warning when pymem.h development header is used,31013,2018-02-28.17:55:45,2
Visual glitches when animating ScrolledText instances using place geometry manager,32864,2018-02-28.10:40:07,2
Mac OSX Installer SSL Roots,29480,2018-02-28.07:19:10,2
Python 3.6.4 - 0x80070643 - Fatal Error during installation,32966,2018-02-28.01:22:47,1
make check in devguide failing,32967,2018-02-27.23:27:27,2
Update 3.7 and 3.8 Windows and macOS installer builds to tcl/tk 8.6.8,32901,2018-02-27.22:53:23,2
"Passing a bool to io.open() should raise a TypeError, not read from stdin",32965,2018-02-27.22:02:00,2
Add Py_BREAKPOINT and sys._breakpoint hooks,9635,2018-02-27.20:48:25,1
Remove Travis CI macOS job: rely on buildbots,31355,2018-02-27.20:40:55,2
"date, time and datetime alternate constructors should take fast construction path",32403,2018-02-27.19:58:30,2
Drop Mac OS X Tiger support in Python 3.7?,29915,2018-02-27.19:34:03,2
add ModuleNotFoundError,15767,2018-02-27.13:48:13,2
