title,id,activity,status
Drop the GIL during large bytes.join operations?,36051,2019-12-23.05:12:29,1
Variables changing values on their own,39118,2019-12-22.22:38:37,2
pyodbc dll load failed,39120,2019-12-22.20:23:41,2
asyncio.Task.print_stack doesn't print the full stack,39060,2019-12-22.14:59:29,1
Add clamp() function to builtins,36788,2019-12-22.10:24:44,2
netrc module does not handle multiple entries for a single host,11416,2019-12-22.10:23:49,1
email.parser.BytesParser - parse and parsebytes work not equivalent,39071,2019-12-22.00:38:15,1
Add a cross-interpreter-safe mechanism to indicate that an object may be destroyed.,33608,2019-12-21.23:16:38,1
Runtime finalization assumes all other threads have exited.,36476,2019-12-21.20:15:13,1
Heap out of bounds read in tok_nextc(),29732,2019-12-21.19:04:36,1
Add dtrace hook for PyCFunction_Call,32599,2019-12-21.18:47:11,1
"Emit a syntax warning for ""is"" with a literal",34850,2019-12-21.18:18:15,2
PyUnicode_AsUTF8AndSize Sometimes Segfaults With Incomplete Surrogate Pair,39113,2019-12-21.16:48:44,2
Fix few dead code paths,33772,2019-12-21.16:10:33,2
StreamReader.readexactly() raises GeneratorExit on ProactorEventLoop,39116,2019-12-21.16:04:36,1
import error when in python -m pdb debug mode,39052,2019-12-21.13:27:10,1
UserList-subclass Tree slicing changes the original list unexpectedly,39110,2019-12-21.12:43:31,2
__debug__ is a keyword but not a keyword,36000,2019-12-21.08:34:17,1
Embedding should have public API for interactive mode,30905,2019-12-21.08:12:40,1
Expose Py_TPFLAGS_ values from Python,24945,2019-12-21.06:43:00,1
"imp.find_module("""") and imp.find_module(""."")",13047,2019-12-21.06:40:19,1
"random needs doc for ""gauss"" versus ""normalvariate""",39108,2019-12-21.01:54:16,1
Py_Finalize() doesn't stop daemon threads,24770,2019-12-20.23:33:07,2
Unclear behavior of daemon threads on main thread exit,13077,2019-12-20.23:21:06,1
Speed up python startup by pre-warming the vm,34296,2019-12-20.23:13:14,1
MainThread association logic is fragile,31517,2019-12-20.23:12:47,1
allow per-thread atexit(),14073,2019-12-20.23:10:00,1
Deadlock between GIL and pystate head_mutex.,28812,2019-12-20.23:09:15,1
Fatal Python error: Interpreter not initialized,1332869,2019-12-20.23:07:40,1
KeyError at exit after 'import threading' in other thread,1596321,2019-12-20.23:05:27,1
"OSError: handle closed, ProcessPoolExecutor shutdown(wait=False)",39098,2019-12-20.21:44:31,1
"""Format Specification Mini-Language"" doc mistake for Decimal",39096,2019-12-20.21:42:34,1
Reorder  __aenter__ & __aexit__ checks for async with statement,39048,2019-12-20.20:03:46,1
"datetime.strftime(""%Y"") not consistent for years < 1000",13305,2019-12-20.19:34:44,1
[linux] strftime renders %Y with only 3 characters,39103,2019-12-20.19:34:12,2
Add __module__ entry for function type in inspect docs table.,38918,2019-12-20.19:29:09,2
Uninitialized objects are tracked by the garbage collector,23868,2019-12-20.19:20:35,2
Misleading variable name in exception handling,26845,2019-12-20.19:10:58,2
Use the runtime's main thread ID in the threading module.,39042,2019-12-20.18:57:08,1
collections.abc.Reversible should not be a subclass of Hashable,39046,2019-12-20.18:49:45,1
Inconsistant error messages for failed attribute modification,26767,2019-12-20.17:48:28,1
Consider building Tkinter with Tk 8.6.10,39107,2019-12-20.17:00:46,1
Spam,39105,2019-12-20.16:53:48,2
Fix mimetype.init() to account for from import,34938,2019-12-20.16:29:05,1
os.spawnXX functions terminates process if second argument is empty list,18930,2019-12-20.16:06:27,1
Add a default to statistics.mean and related functions,39094,2019-12-20.13:32:13,2
[C-API] PyUnicode_FromString,39109,2019-12-20.13:07:41,2
IDLE 3.x on Windows exits when pasting non-BMP unicode,13153,2019-12-20.12:13:44,2
The description of multiprocessing.cpu_count() is not accurate in the documentation,39097,2019-12-20.10:02:04,2
ProcessPoolExecutor hangs on shutdown nowait with pickling failure,39104,2019-12-20.06:54:22,1
test_ssl: test_min_max_version() fails on FreeBSD and Fedora,38815,2019-12-20.02:07:46,1
scandir.dirfd() method,39099,2019-12-20.01:11:30,2
codecs.open leaks file descriptor when invalid encoding is passed,38971,2019-12-19.22:31:26,1
Uninstalling 3.8.0 fails but it says it succeeds..,39070,2019-12-19.21:50:24,1
IsolatedAsyncioTestCase freezes when exception is raised,39101,2019-12-19.19:55:52,1
email.policy.SMTP throws AttributeError on invalid header,39100,2019-12-19.19:32:14,1
tkinter objects garbage collected from non-tkinter thread cause panic and core dump,39093,2019-12-19.16:36:27,1
Improve exception message in ast.literal_eval,32888,2019-12-19.15:26:59,1
Compile libpython with -fno-semantic-interposition,38980,2019-12-19.15:15:21,1
"docs: Code object's ""co_stacksize"" field is described with mistake",38316,2019-12-19.14:51:51,2
Implementation of IMAP IDLE in imaplib?,11245,2019-12-19.12:58:09,1
"Numeric formatting inconsistent between int, float and Decimal",39077,2019-12-19.10:19:41,2
__code__. co_filename should always be an absolute path,20443,2019-12-19.08:59:14,1
Improve docs for await expression,39085,2019-12-19.07:59:03,1
"Negative Array Index not Yielding ""Index Out Of Bounds""",39095,2019-12-19.05:24:09,2
Default hmac.new() digestmod has not been removed from documentation,37218,2019-12-19.05:09:14,1
CPython Segfault in 5 lines of code,39091,2019-12-19.05:08:21,1
test_relative_path of test_py_compile fails on macOS 10.15 Catalina,38295,2019-12-19.01:50:10,1
Travis CI fail on backports: pyvenv not installed,39035,2019-12-19.01:50:09,1
Add a vendor-packages directory for system-supplied modules,1298835,2019-12-19.00:30:17,1
Prefix search is filesystem-centric,1116520,2019-12-19.00:29:24,1
Memory leak while running TCP/UDPServer with socketserver.ThreadingMixIn,37193,2019-12-18.22:08:26,1
fix for bpo-36402 (threading._shutdown() race condition) causes reference leak,37788,2019-12-18.21:55:24,1
hotshot.stats.load fails with AssertionError,900092,2019-12-18.21:15:22,2
test_concurrent_futures: reap_children() warnings on RHEL7 and RHEL8 buildbots,38546,2019-12-18.20:51:16,2
Csv sniffer doesn't attempt to determine and set escape character.,39092,2019-12-18.20:50:42,1
Add support for Path.absolute(),29688,2019-12-18.19:46:31,1
pathlib '/' operator does not resolve Enums with str mixin as expected,39081,2019-12-18.17:48:52,2
Update IDLE's credits,39089,2019-12-18.17:44:49,1
test_concurrent_futures: test_crash() timed out on AMD64 Fedora Rawhide Refleaks 3.x,39014,2019-12-18.17:40:51,1
test_concurrent_futures crashed with python.core core dump on AMD64 FreeBSD Shared 3.x,39088,2019-12-18.17:37:48,1
"Division ""/"" error on Long Integers",39086,2019-12-18.12:28:38,2
Have date.isocalendar() return a structseq instance,24416,2019-12-18.10:13:22,1
_markupbase.py fails with UnboundLocalError on invalid keyword in marked section,34480,2019-12-18.09:07:20,1
ENH: Fix performance issue in keyword extraction,39028,2019-12-18.06:51:48,2
